,time,x,x,x,x,time,u,u,u,u
265,5.34,-0.003398358,-0.002501772,-0.002013452,-0.001107988,5.34,0,0.072548931,0.099918682,0.118672696
266,5.36,-0.003616824,-0.002563273,-0.002006,-0.001018782,5.36,0,0.075053158,0.100672584,0.110798755
267,5.38,-0.003823033,-0.00260334,-0.001978266,-0.000925046,5.38,0,0.076898201,0.100299986,0.101878177
268,5.4,-0.004016066,-0.002622981,-0.001932984,-0.000832513,5.4,0,0.078100203,0.098913318,0.092504637
269,5.42,-0.004195223,-0.002623607,-0.001873235,-0.000746397,5.42,0,0.078689431,0.096649218,0.083251347
270,5.44,-0.004360019,-0.002606958,-0.001802311,-0.000671133,5.44,0,0.078708206,0.093661735,0.074639685
271,5.46,-0.004510157,-0.002575031,-0.00172359,-0.000610185,5.46,0,0.078208741,0.090115557,0.067113258
272,5.48,-0.004645518,-0.002530007,-0.001640407,-0.000565923,5.48,0,0.077250939,0.086179481,0.061018479
273,5.5,-0.004766143,-0.002474178,-0.001555951,-0.000539569,5.5,0,0.075900208,0.08202034,0.056592251
274,5.52,-0.004872216,-0.002409886,-0.001473166,-0.000531222,5.52,0,0.07422535,0.077797533,0.05395692
275,5.54,-0.00496405,-0.002339455,-0.001394677,-0.000539935,5.54,0,0.072296574,0.073658302,0.053122213
276,5.56,-0.005042067,-0.002265141,-0.001322726,-0.000563854,5.56,0,0.070183646,0.069733841,0.053993504
277,5.58,-0.005106787,-0.002189083,-0.001259134,-0.000600397,5.58,0,0.067954242,0.066136303,0.056385436
278,5.6,-0.005158808,-0.002113259,-0.001205276,-0.000646456,5.6,0,0.065672493,0.062956713,0.060039691
279,5.62,-0.0051988,-0.002039455,-0.001162072,-0.00069862,5.62,0,0.063397761,0.060263789,0.064645574
280,5.64,-0.005227481,-0.00196924,-0.001130002,-0.000753394,5.64,0,0.061183643,0.058103616,0.069861987
281,5.66,-0.005245615,-0.00190395,-0.001109125,-0.000807408,5.66,0,0.059077213,0.056500124,0.075339437
282,5.68,-0.005253992,-0.001844671,-0.001099116,-0.000857598,5.68,0,0.057118487,0.055456264,0.080740804
283,5.7,-0.005253423,-0.001792243,-0.001099311,-0.00090136,5.7,0,0.05534012,0.054955796,0.085759758
284,5.72,-0.005244725,-0.001747261,-0.001108762,-0.000936665,5.72,0,0.0537673,0.054965557,0.090135979
285,5.74,-0.005228715,-0.001710082,-0.001126292,-0.00096213,5.74,0,0.052417844,0.055438104,0.093666522
286,5.76,-0.005206203,-0.001680838,-0.001150557,-0.000977045,5.76,0,0.051302455,0.056314601,0.096212998
287,5.78,-0.005177983,-0.001659457,-0.001180105,-0.000981363,5.78,0,0.050425133,0.057527832,0.097704477
288,5.8,-0.005144824,-0.001645683,-0.001213436,-0.000975651,5.8,0,0.049783712,0.059005228,0.098136284
289,5.82,-0.005107471,-0.001639098,-0.001249058,-0.000961008,5.82,0,0.049370491,0.060671799,0.097565073
290,5.84,-0.005066633,-0.001639149,-0.001285534,-0.000938961,5.84,0,0.049172942,0.062452891,0.096100766
291,5.86,-0.005022986,-0.001645174,-0.001321527,-0.000911342,5.86,0,0.049174475,0.06427668,0.09389605
292,5.88,-0.004977164,-0.001656427,-0.001355838,-0.000880164,5.88,0,0.049355218,0.066076347,0.091134246
293,5.9,-0.004929762,-0.001672107,-0.001387431,-0.000847481,5.9,0,0.049692813,0.067791889,0.088016358
294,5.92,-0.004881329,-0.001691378,-0.001415455,-0.000815278,5.92,0,0.050163196,0.069371537,0.084748127
295,5.94,-0.004832371,-0.001713398,-0.001439258,-0.000785354,5.94,0,0.050741338,0.070772766,0.081527821
296,5.96,-0.004783347,-0.001737337,-0.001458387,-0.000759237,5.96,0,0.051401951,0.071962905,0.078535415
297,5.98,-0.004734673,-0.001762396,-0.001472589,-0.000738115,5.98,0,0.052120122,0.072919359,0.075923669
298,6,-0.004686718,-0.001787824,-0.001481801,-0.000722797,6,0,0.052871887,0.073629465,0.073811474
299,6.02,-0.004639809,-0.001812932,-0.001486132,-0.000713694,6.02,0,0.053634726,0.074090031,0.072279666
300,6.04,-0.004594227,-0.001837104,-0.001485849,-0.000710827,6.04,0,0.054387969,0.074306591,0.071369356
301,6.06,-0.004550214,-0.001859805,-0.00148135,-0.000713857,6.06,0,0.055113132,0.07429244,0.071082678
302,6.08,-0.004507973,-0.001880586,-0.001473139,-0.000722133,6.08,0,0.055794155,0.074067479,0.071385723
303,6.1,-0.004467666,-0.001899086,-0.001461803,-0.000734752,6.1,0,0.056417566,0.073656958,0.07221331
304,6.12,-0.004429423,-0.001915035,-0.001447979,-0.000750632,6.12,0,0.056972565,0.073090134,0.073475191
305,6.14,-0.004393337,-0.00192825,-0.001432332,-0.000768589,6.14,0,0.057451036,0.072398927,0.075063203
306,6.16,-0.004359473,-0.001938632,-0.00141553,-0.000787412,6.16,0,0.057847491,0.071616596,0.0768589
307,6.18,-0.004327867,-0.00194616,-0.001398219,-0.000805934,6.18,0,0.058158952,0.0707765,0.078741166
308,6.2,-0.004298527,-0.001950884,-0.001381005,-0.000823099,6.2,0,0.058384795,0.069910956,0.080593399
309,6.22,-0.00427144,-0.00195292,-0.001364435,-0.000838009,6.22,0,0.058526534,0.069050241,0.08230986
310,6.24,-0.004246572,-0.001952434,-0.001348987,-0.000849969,6.24,0,0.058587592,0.068221751,0.08380091
311,6.26,-0.004223867,-0.001949642,-0.001335056,-0.000858506,6.26,0,0.058573028,0.067449333,0.0849969
312,6.28,-0.004203257,-0.001944794,-0.001322952,-0.000863382,6.28,0,0.058489269,0.066752797,0.085850618
313,6.3,-0.004184659,-0.001938166,-0.001312895,-0.000864589,6.3,0,0.058343819,0.066147608,0.086338241
314,6.32,-0.004167977,-0.001930052,-0.001305016,-0.000862328,6.32,0,0.058144976,0.065644755,0.086458874
315,6.34,-0.004153107,-0.001920754,-0.001299359,-0.000856987,6.34,0,0.057901556,0.065250777,0.086232809
316,6.36,-0.004139936,-0.001910576,-0.001295891,-0.000849099,6.36,0,0.05762263,0.064967947,0.085698692
317,6.38,-0.004128347,-0.001899812,-0.001294508,-0.000839301,6.38,0,0.057317279,0.064794572,0.084909865
318,6.4,-0.004118219,-0.001888746,-0.001295043,-0.000828293,6.4,0,0.056994371,0.064725412,0.083930142
319,6.42,-0.004109427,-0.001877638,-0.001297281,-0.000816787,6.42,0,0.056662367,0.064752172,0.082829323
320,6.44,-0.004101847,-0.00186673,-0.001300967,-0.000805469,6.44,0,0.056329151,0.064864059,0.081678702
321,6.46,-0.004095355,-0.001856232,-0.001305822,-0.000794959,6.46,0,0.056001898,0.065048368,0.080546854
322,6.48,-0.004089829,-0.001846326,-0.00131155,-0.000785784,6.48,0,0.055686959,0.065291088,0.0794959
323,6.5,-0.004085148,-0.001837163,-0.001317854,-0.000778353,6.5,0,0.055389789,0.065577491,0.07857844
324,6.52,-0.004081197,-0.001828861,-0.001324443,-0.00077294,6.52,0,0.055114898,0.065892693,0.077835273
325,6.54,-0.004077864,-0.001821505,-0.001331045,-0.000769683,6.54,0,0.054865829,0.066222175,0.077293974
326,6.56,-0.004075044,-0.001815152,-0.001337408,-0.000768587,6.56,0,0.054645163,0.066552237,0.076968342
327,6.58,-0.004072634,-0.001809825,-0.001343313,-0.000769529,6.58,0,0.05445455,0.066870391,0.076858691
328,6.6,-0.004070541,-0.001805524,-0.001348578,-0.00077228,6.6,0,0.054294751,0.067165675,0.076952884
329,6.62,-0.004068677,-0.001802221,-0.001353054,-0.000776525,6.62,0,0.054165709,0.067428883,0.077228006
330,6.64,-0.00406696,-0.001799868,-0.001356638,-0.000781888,6.64,0,0.054066625,0.067652724,0.077652533
331,6.66,-0.004065315,-0.001798399,-0.001359261,-0.000787957,6.66,0,0.053996044,0.067831893,0.078188814
332,6.68,-0.004063676,-0.00179773,-0.001360897,-0.000794313,6.68,0,0.05395196,0.067963071,0.07879572
333,6.7,-0.00406198,-0.001797769,-0.001361553,-0.000800552,6.7,0,0.053931908,0.068044863,0.079431282
334,6.72,-0.004060174,-0.001798413,-0.00136127,-0.000806309,6.72,0,0.053933075,0.068077671,0.080055173
335,6.74,-0.004058212,-0.001799555,-0.001360117,-0.000811276,6.74,0,0.053952396,0.068063516,0.080630896
336,6.76,-0.004056051,-0.001801086,-0.001358184,-0.000815213,6.76,0,0.053986652,0.068005829,0.081127587
337,6.78,-0.004053657,-0.001802897,-0.001355583,-0.000817961,6.78,0,0.05403257,0.067909206,0.081521348
338,6.8,-0.004051002,-0.001804883,-0.001352436,-0.000819438,6.8,0,0.054086897,0.067779146,0.081796076
339,6.82,-0.004048062,-0.001806945,-0.001348873,-0.000819644,6.82,0,0.054146486,0.067621789,0.081943776
340,6.84,-0.00404482,-0.001808992,-0.001345027,-0.000818652,6.84,0,0.054208359,0.067443644,0.081964391
341,6.86,-0.004041262,-0.001810941,-0.001341028,-0.000816597,6.86,0,0.054269763,0.067251344,0.08186518
342,6.88,-0.004037381,-0.001812718,-0.001337,-0.000813667,6.88,0,0.054328218,0.067051401,0.081659725
343,6.9,-0.004033173,-0.001814264,-0.001333057,-0.000810082,6.9,0,0.054381548,0.066850006,0.081366659
344,6.92,-0.004028637,-0.001815527,-0.001329299,-0.000806086,6.92,0,0.05442791,0.066652841,0.081008194
345,6.94,-0.004023776,-0.001816469,-0.001325811,-0.000801925,6.94,0,0.054465804,0.066464936,0.080608566
346,6.96,-0.004018597,-0.001817064,-0.001322663,-0.000797837,6.96,0,0.054494077,0.066290559,0.08019248
347,6.98,-0.004013109,-0.001817295,-0.001319904,-0.000794035,6.98,0,0.054511922,0.066133135,0.079783651
348,7,-0.004007323,-0.001817158,-0.001317569,-0.000790702,7,0,0.054518861,0.06599521,0.07940352
349,7.02,-0.004001253,-0.001816655,-0.001315673,-0.000787977,7.02,0,0.054514727,0.065878443,0.079070197
350,7.04,-0.003994913,-0.001815799,-0.001314215,-0.000785954,7.04,0,0.054499639,0.065783629,0.078797681
